movie.id,actor_1,PCA1,actor_2,PCA2
2,54768,0.875362186,54769,0.748577296
3,4826,-1.543420099,5999,-2.171318825
5,3129,-6.368356379,3131,-11.24630154
6,2880,-5.51310389,9777,-7.899067592
11,2,-5.946467435,3,-7.793049839
12,13,-3.200916202,14,-0.334028957
13,31,-10.92824828,32,-3.153356204
14,1979,-6.843254199,516,-5.772122548
15,40,-6.716469309,7664,-7.878300454
16,47,-0.935711666,50,-10.73313625
17,48,-7.391928032,49,-3.80804779
18,62,-12.91309017,64,-8.131870234
19,75,-0.334028957,73,-0.413830694
20,98,-1.263057459,99,-1.242290322
21,1487339,0.875362186,92,-0.413830694
22,85,-9.344528188,118,-4.637084263
24,139,-6.014217726,140,-2.752234398
25,134,-4.129944704,131,-5.51310389
26,164,-1.670204989,165,-0.21326979
27,176,-0.287045804,177,0.267653753
28,8349,-7.751515565,3084,-7.993610742
30,20661,0.875362186,20662,0.748577296
33,190,-10.52712647,193,-12.19609717
35,198,-0.614391597,199,0.06709285
38,206,-6.483666667,204,-5.813656822
55,258,-4.678618538,259,0.267653753
58,85,-9.344528188,114,-3.581270871
59,110,-4.858412304,49,-3.80804779
62,245,-1.596428976,246,-0.413830694
63,62,-12.91309017,289,-3.353917107
64,101,-0.861935653,398,-0.05969204
65,325,-0.614391597,327,-1.469644086
66,190,-10.52712647,193,-12.19609717
67,762,-0.8149525,764,-0.21326979
68,378,-4.616317126,380,-17.00955885
69,73421,-4.932188317,368,-6.141002615
70,190,-10.52712647,448,-3.448460258
71,478,-2.599233492,477,-2.245094838
73,819,-3.781831774,820,-5.25953411
74,500,-7.813816976,501,-5.412535016
75,514,-8.574526315,515,-6.415339532
76,569,-8.426974288,1146,-3.80804779
77,529,-5.967234573,530,-3.80804779
78,3,-7.793049839,585,-9.48278768
79,1336,-8.742845479,1337,-4.985197194
80,569,-8.426974288,1146,-3.80804779
81,613,0.875362186,617,0.2206706
82,134,-4.129944704,72466,-6.515908406
83,644,0.394438643,646,-0.21326979
85,3,-7.793049839,650,-2.625449508
86,675,-0.782133916,677,-4.56330825
87,3,-7.793049839,689,-0.66137475
88,722,-1.115505432,723,-4.678618538
89,3,-7.793049839,738,-9.671873982
90,776,-8.648302328,777,-3.380709968
91,174923,-0.086484901,174950,-0.21326979
92,806,0.875362186,,NA
93,854,-12.76553815,855,-4.06161757
95,62,-12.91309017,879,-6.949271952
96,776,-8.648302328,777,-3.380709968
97,1229,-13.29344484,2547,-2.271887699
98,934,-7.698506688,73421,-4.932188317
99,953,-0.861935653,954,-0.587598736
100,973,-2.398672589,974,-1.469644086
101,1003,-6.843254199,524,-5.739880809
102,1017,0.06709285,1018,-3.200916202
103,380,-17.00955885,1036,-2.699225521
104,679,-2.044533935,677,-4.56330825
105,521,-6.536675543,1062,-7.329626621
106,1100,-6.958564487,1101,-0.961927682
107,1121,-3.581270871,1117,-1.342859196
108,1137,-8.547733454,1138,0.421231503
109,1145,-1.142298293,1146,-3.80804779
110,1350,-1.316066336,1352,-5.312542987
111,1158,-10.10523753,1159,-2.652242368
112,1181,-0.741176487,1182,0.267653753
113,1188,-0.614391597,4259,0.421231503
114,1204,-6.689676449,1205,-9.323761051
115,1229,-13.29344484,1230,-7.857533317
116,1244,-2.472448602,1245,-5.993450588
117,1269,-8.394732549,738,-9.671873982
118,85,-9.344528188,1281,-2.472448602
120,109,-6.917030213,1327,-4.056168691
121,109,-6.917030213,1327,-4.056168691
122,109,-6.917030213,1327,-4.056168691
123,16270,-0.086484901,16271,-0.21326979
124,1384,0.273679476,1385,0.748577296
127,1405,-0.8149525,1408,0.748577296
128,622,0.875362186,20330,-0.387037833
129,19587,0.875362186,19588,0.34745549
132,1428,-3.528261995,1430,-2.705251245
133,21111,-0.487606707,21112,-0.21326979
134,1461,-6.663460433,1241,-6.515908406
135,1487,-0.8149525,1488,0.748577296
136,1511,-0.086484901,1512,0.267653753
137,1532,-5.026731468,1533,-4.737076293
138,1547,-5.787440807,1548,0.267653753
139,1184,-1.870765892,1562,-1.242290322
140,258,-4.678618538,1602,-1.06852228
141,131,-5.51310389,20089,-1.917749045
142,1810,-3.200916202,131,-5.51310389
143,2007,-3.929383801,2008,-0.21326979
144,2310,-2.852803271,2311,-0.8149525
145,1639,-2.946769577,1640,-7.497945785
146,1619,-4.932188317,1620,-2.846777548
147,1653,-4.78463629,1654,0.267653753
148,98,-1.263057459,504,-5.439327876
149,1678,0.548016393,1679,0.748577296
150,1733,-8.954880984,776,-8.648302328
152,1748,-5.25953411,1749,-3.908616664
153,1532,-5.026731468,1245,-5.993450588
154,1748,-5.25953411,1749,-3.908616664
155,3894,-6.843254199,3895,-18.42495978
156,1833,-0.086484901,1643,-0.413830694
157,1748,-5.25953411,1749,-3.908616664
158,1844,-5.407086137,1852,-0.867961376
159,1844,-5.407086137,1874,-0.861935653
160,1419617,0.875362186,,NA
161,1461,-6.663460433,287,-8.627535191
162,85,-9.344528188,1920,-6.595133298
163,1461,-6.663460433,287,-8.627535191
164,1932,-3.495443411,1933,-2.926579285
165,521,-6.536675543,1062,-7.329626621
166,1958,-1.997550782,1959,-1.115505432
167,1229,-13.29344484,1979,-6.843254199
168,1748,-5.25953411,1749,-3.908616664
169,1109,-0.086484901,2047,-10.64461883
170,2037,-2.673009505,2038,-1.442851225
171,1958,-1.997550782,1959,-1.115505432
172,1748,-5.25953411,1749,-3.908616664
173,2090,-11.83650964,2091,-12.70323673
174,1748,-5.25953411,1749,-3.908616664
175,1642,-0.8149525,1003,-6.843254199
176,2130,-5.291775849,2047,-10.64461883
177,1229,-13.29344484,2157,-10.92824828
178,1229,-13.29344484,2176,-10.39104905
179,2227,-10.71236912,2228,-9.48278768
180,500,-7.813816976,72466,-6.515908406
182,1461,-6.663460433,112,-6.869470215
183,2223,-1.670204989,33052,-0.413830694
184,2230,-2.973562438,2231,-13.32568658
185,56890,-9.916151226,2264,-1.269083183
186,2299,-4.256729594,62,-12.91309017
187,56731,-4.684067416,6278,-0.387037833
189,2295,-7.043815102,56731,-4.684067416
192,738,-9.671873982,2224,-10.06370325
193,2387,-6.1147866,2388,-1.195307169
194,2405,-4.50427365,2406,-1.997550782
195,2433,-3.100347328,2434,-4.63105854
196,521,-6.536675543,1062,-7.329626621
197,2461,-9.123200148,2462,-1.289273475
198,2491,-3.849582064,2492,-0.708357903
199,2387,-6.1147866,2388,-1.195307169
200,2387,-6.1147866,2388,-1.195307169
201,2387,-6.1147866,2388,-1.195307169
203,1037,-11.82721711,380,-17.00955885
204,2565,-4.858412304,2566,-2.177344548
205,1896,-3.781831774,2598,-0.387037833
206,2628,-9.26145964,2629,-0.540615583
207,2157,-10.92824828,569,-8.426974288
211,10236,-0.086484901,10237,0.548016393
212,2638,-13.54701462,2670,-1.717188142
213,2638,-13.54701462,2639,-3.20636508
214,2144,-1.490411223,2138,-0.714383626
215,2144,-1.490411223,2138,-0.714383626
216,2726,0.674801283,2727,-0.21326979
217,3,-7.793049839,112,-6.869470215
218,1100,-6.958564487,2712,-4.837645167
219,955,-5.739880809,2744,-2.118309949
220,2749,0.34745549,2750,-1.316066336
221,2749,0.34745549,2769,-4.430497637
222,2797,0.875362186,,NA
223,3359,-7.096823979,3360,-4.335954486
224,2807,-2.298103715,1386,0.548016393
225,1386,0.548016393,2807,-2.298103715
226,448,-3.448460258,2838,-1.770197019
227,2876,-6.790245323,2877,-2.271887699
228,2895,-2.145102809,2896,-5.760647946
229,2922,-9.364718481,2923,-0.741176487
231,1461,-6.663460433,1892,-9.155441887
232,2876,-6.790245323,2295,-7.043815102
233,3002,-1.543420099,3004,-0.413830694
234,3000,-0.8149525,3001,-3.127140188
235,3033,-0.741176487,741,-1.870765892
236,3051,-6.120235478,23,-0.94173739
237,3061,-9.883909487,3063,-6.141002615
238,3084,-7.993610742,1158,-10.10523753
239,3149,-2.572440631,3150,-8.025852481
240,1158,-10.10523753,3087,-10.31727303
241,57755,-9.187683626,3196,-2.899786424
242,1158,-10.10523753,3092,-9.741806338
243,3036,-11.16105092,1562,-1.242290322
244,3243,-2.124335672,3242,-4.06161757
245,3291,-5.840449683,3292,-2.271887699
246,3317,-2.419439726,13275,-6.061777723
247,3088,-4.056168691,3336,-0.761366779
248,3381,-10.96049002,3380,-13.34042799
249,3391,-4.229936734,3392,-7.993610742
